-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  15.4846   Longitude 120.9698 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 282.04 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,23.9,23.71,25.74,27.55,27.6,26.85,26.75,25.93,25.96,25.55,24.71,24.37,25.73
T2M,2017,23.03,22.67,24.3,26.8,27.26,26.95,25.88,26.4,26.3,25.74,25.12,23.98,25.38
T2M,2018,23.55,24.19,24.74,26.33,27.34,26.28,25.6,25.4,25.8,25.45,24.83,24.57,25.35
T2M,2019,22.85,23.15,25.4,26.74,27.67,27.21,26.04,25.64,25.56,25.8,25.02,24.25,25.46
T2M,2020,23.78,22.83,24.89,25.82,27.33,26.84,26.41,25.94,26.59,25.79,24.99,24.6,25.49
QV2M,2016,15.93,15.01,15.87,16.72,18.37,18.86,18.62,19.53,19.04,18.86,17.7,17.64,17.7
QV2M,2017,15.69,15.08,15.62,16.72,18.55,18.98,18.98,19.17,19.17,18.62,18.62,16.91,17.7
QV2M,2018,16.17,15.69,15.2,16.66,18.19,19.04,19.17,19.04,18.68,17.58,16.97,16.6,17.4
QV2M,2019,14.77,14.04,14.83,16.78,18.62,19.59,19.04,19.53,18.86,17.94,17.88,16.91,17.4
QV2M,2020,15.38,14.4,16.42,17.58,19.47,18.98,18.86,18.86,19.23,19.17,18.25,18.07,17.88
CLRSKY_KT,2016,0.7,0.7,0.69,0.7,0.69,0.7,0.7,0.68,0.69,0.69,0.69,0.68,0.69
CLRSKY_KT,2017,0.7,0.7,0.7,0.7,0.69,0.7,0.68,0.7,0.7,0.69,0.69,0.68,0.7
CLRSKY_KT,2018,0.68,0.7,0.7,0.7,0.7,0.68,0.69,0.67,0.7,0.7,0.7,0.69,0.7
CLRSKY_KT,2019,0.71,0.72,0.7,0.7,0.68,0.69,0.69,0.69,0.68,0.7,0.68,0.7,0.7
CLRSKY_KT,2020,0.7,0.71,0.7,0.69,0.7,0.7,0.7,0.69,0.7,0.69,0.69,0.68,0.7
ALLSKY_SFC_SW_DWN,2016,5.08,5.25,5.94,6.59,5.98,5.4,5.26,3.85,4.68,4.49,4.5,4.28,5.11
ALLSKY_SFC_SW_DWN,2017,4.51,5.42,6.21,6.38,5.68,5.89,4.62,5.1,4.84,4.51,4.3,4.17,5.13
ALLSKY_SFC_SW_DWN,2018,4.43,5.67,6.21,6.46,6.44,4.39,4.13,3.67,5.08,5.56,5.13,4.14,5.1
ALLSKY_SFC_SW_DWN,2019,5,6.03,6.43,6.38,5.7,5.34,4.81,3.77,4.1,5.51,4.27,4.48,5.15
ALLSKY_SFC_SW_DWN,2020,4.91,5.77,6.52,6.35,5.93,6.1,5.77,4.72,5.55,4.3,4.42,4.02,5.36
