-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  17.9949   Longitude 120.5028 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 263.86 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,24.41,24.13,26.19,29.12,29.26,27.7,27.6,26.5,26.5,26.56,25.59,24.77,26.53
T2M,2017,23.56,23.06,25.76,27.59,28.13,27.54,27.22,26.81,27.05,26.18,26.23,23.83,26.09
T2M,2018,24.3,24.48,25.61,28.61,29.65,27.27,26.34,26.26,26.35,26.04,25.97,25.9,26.4
T2M,2019,24.75,25.87,27.27,28.71,27.56,28.16,26.95,26.55,26.16,26.13,24.9,24.33,26.44
T2M,2020,23.71,23.99,27.14,28.58,28.98,28.07,27.66,26.87,27.4,26.8,25.51,24.65,26.62
QV2M,2016,14.77,13.92,14.77,15.93,17.82,19.41,19.17,19.71,19.17,18.86,17.46,16.85,17.33
QV2M,2017,14.95,14.34,15.01,15.81,17.82,19.41,19.1,19.53,19.35,18.49,18.43,15.75,17.33
QV2M,2018,15.32,14.83,13.98,15.62,17.33,19.47,19.35,19.59,18.74,17.33,16.6,15.75,17.03
QV2M,2019,13.73,13.06,14.1,16.85,18.55,19.65,19.47,20.02,18.74,17.7,17.46,16.24,17.15
QV2M,2020,14.65,13.31,14.95,15.75,18.01,19.35,19.35,19.23,19.29,19.1,17.76,17.4,17.33
CLRSKY_KT,2016,0.7,0.7,0.68,0.69,0.7,0.7,0.7,0.69,0.69,0.7,0.7,0.68,0.7
CLRSKY_KT,2017,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.69,0.68,0.7
CLRSKY_KT,2018,0.69,0.7,0.71,0.7,0.7,0.7,0.7,0.68,0.7,0.7,0.7,0.69,0.7
CLRSKY_KT,2019,0.7,0.72,0.7,0.7,0.68,0.7,0.7,0.69,0.69,0.7,0.68,0.7,0.7
CLRSKY_KT,2020,0.7,0.71,0.7,0.69,0.7,0.7,0.7,0.69,0.7,0.7,0.69,0.67,0.7
ALLSKY_SFC_SW_DWN,2016,5.08,5.39,6,6.55,6.19,5.85,5.66,4.06,5.01,4.78,4.68,4.44,5.3
ALLSKY_SFC_SW_DWN,2017,4.9,5.24,6.37,6.77,5.48,6.25,5,5.05,5.29,4.74,4.55,4.38,5.33
ALLSKY_SFC_SW_DWN,2018,4.69,5.57,6.63,6.68,6.58,4.62,5.13,3.78,5.26,5.68,5.34,4.58,5.37
ALLSKY_SFC_SW_DWN,2019,5.17,6.06,6.42,6.25,5.66,5.64,5.24,4.23,4.52,5.87,4.14,4.68,5.32
ALLSKY_SFC_SW_DWN,2020,5.01,5.95,6.55,6.34,5.99,6.29,5.89,4.98,5.78,4.46,4.43,4.18,5.48
