-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  10.4151   Longitude 123.6743 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 98.77 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,26.6,26.67,27.83,29.58,29.48,28.31,27.76,27.54,27.3,27.13,26.74,26.87,27.65
T2M,2017,25.9,25.34,26.3,27.47,28.4,28.31,27.33,27.59,27.55,27.4,27.32,26.88,27.15
T2M,2018,26.28,26.22,26.6,27.66,28.65,27.99,27.42,27.31,27.19,27.63,26.98,26.61,27.22
T2M,2019,25.37,25.08,25.92,27.13,28.85,28.27,27.39,27.15,27.44,27.52,27.15,26.69,27.01
T2M,2020,26.38,25.76,27.08,28.83,29.56,28.13,27.69,27.56,28.08,27.39,27.07,26.95,27.55
QV2M,2016,17.33,17.4,16.85,17.52,18.92,19.1,18.74,19.47,19.1,19.47,19.1,19.29,18.55
QV2M,2017,18.86,17.58,18.19,18.68,19.84,18.86,18.92,19.17,19.23,19.35,19.78,19.47,18.98
QV2M,2018,19.23,18.55,18.13,18.8,19.04,18.86,19.23,18.86,19.17,18.86,19.1,19.17,18.92
QV2M,2019,17.52,16.3,16.72,18.31,19.47,19.84,19.1,19.47,19.23,19.23,19.23,18.98,18.62
QV2M,2020,18.37,17.33,17.4,17.76,19.29,18.8,18.86,19.1,19.23,19.59,19.59,19.65,18.74
CLRSKY_KT,2016,0.7,0.7,0.72,0.71,0.7,0.69,0.69,0.68,0.69,0.69,0.7,0.69,0.7
CLRSKY_KT,2017,0.69,0.7,0.7,0.71,0.7,0.7,0.69,0.7,0.69,0.69,0.7,0.69,0.7
CLRSKY_KT,2018,0.69,0.7,0.71,0.71,0.7,0.68,0.67,0.68,0.69,0.7,0.7,0.69,0.7
CLRSKY_KT,2019,0.7,0.73,0.73,0.73,0.7,0.7,0.69,0.68,0.66,0.7,0.69,0.69,0.7
CLRSKY_KT,2020,0.7,0.7,0.72,0.72,0.7,0.7,0.69,0.69,0.7,0.68,0.69,0.69,0.7
ALLSKY_SFC_SW_DWN,2016,5.19,5.21,6.58,6.61,6,5.29,5.11,4.92,5.11,4.61,4.4,4.32,5.28
ALLSKY_SFC_SW_DWN,2017,3.48,4.6,4.97,5.99,5.6,5.48,4.67,5.14,4.98,4.32,4.59,4.02,4.82
ALLSKY_SFC_SW_DWN,2018,4.01,4.89,5.84,6.33,5.82,5.05,4.88,4.96,5.01,5.39,4.63,4.11,5.08
ALLSKY_SFC_SW_DWN,2019,4.4,5.67,6.25,6.56,5.94,5.5,5.02,4.73,5.1,5.28,4.51,4.31,5.27
ALLSKY_SFC_SW_DWN,2020,4.83,4.86,6.32,6.44,5.86,5.06,5.19,5.23,5.15,4.51,4.59,4.15,5.18
