-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  10.4234   Longitude 122.9204 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 301.15 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,25.05,25.69,27.4,29.4,28.44,26.09,25.45,25.22,24.98,24.96,24.54,24.83,26.01
T2M,2017,23.98,23.58,24.9,26.13,26.61,25.98,25,25.32,25.29,25.2,25.2,24.87,25.18
T2M,2018,24.31,24.3,24.67,26.23,26.52,25.59,25.01,24.85,24.8,25.3,24.94,24.67,25.1
T2M,2019,23.44,23.43,24.74,26.16,27.32,26.2,25.13,24.88,25.15,25.25,24.8,24.63,25.1
T2M,2020,24.48,24.18,26.15,28.38,28.46,25.84,25.37,25.18,25.76,25.14,24.91,24.89,25.73
QV2M,2016,16.17,16.17,15.2,15.56,17.7,18.68,18.19,18.74,18.43,18.74,18.13,18.43,17.52
QV2M,2017,17.76,16.54,16.97,17.58,18.98,18.43,18.31,18.55,18.55,18.68,18.86,18.55,18.19
QV2M,2018,18.25,17.52,17.09,17.64,18.43,18.25,18.49,18.19,18.43,18.19,18.25,18.19,18.07
QV2M,2019,16.36,15.2,15.32,16.91,18.49,19.1,18.43,18.62,18.49,18.55,18.37,18.01,17.64
QV2M,2020,17.4,16.17,16.05,15.93,18.19,18.37,18.43,18.55,18.8,18.86,18.62,18.74,17.82
CLRSKY_KT,2016,0.7,0.7,0.71,0.7,0.69,0.69,0.69,0.68,0.68,0.69,0.69,0.68,0.69
CLRSKY_KT,2017,0.69,0.7,0.7,0.7,0.69,0.69,0.68,0.69,0.69,0.68,0.69,0.68,0.69
CLRSKY_KT,2018,0.69,0.7,0.7,0.7,0.7,0.68,0.67,0.67,0.69,0.69,0.7,0.69,0.69
CLRSKY_KT,2019,0.7,0.72,0.72,0.71,0.69,0.69,0.68,0.67,0.66,0.69,0.68,0.69,0.69
CLRSKY_KT,2020,0.7,0.7,0.71,0.71,0.69,0.69,0.69,0.69,0.69,0.68,0.69,0.68,0.7
ALLSKY_SFC_SW_DWN,2016,5.61,5.71,6.89,6.67,6.08,5.16,4.94,4.62,5.23,4.69,4.83,4.74,5.43
ALLSKY_SFC_SW_DWN,2017,4.11,5.33,5.62,6.11,5.7,5.55,4.61,5.01,4.95,4.33,4.93,4.3,5.04
ALLSKY_SFC_SW_DWN,2018,4.53,5.4,6.29,6.5,5.85,5.01,4.24,4.76,4.83,5.73,5.11,4.58,5.23
ALLSKY_SFC_SW_DWN,2019,4.87,6.21,6.57,6.74,6.03,5.37,4.81,4.23,5.04,5.67,4.53,4.75,5.4
ALLSKY_SFC_SW_DWN,2020,5.3,5.48,6.51,6.64,5.92,5.01,5.09,5.22,5.19,4.5,4.86,4.47,5.35
