-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  14.0361   Longitude 120.654 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 62.93 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,26.03,25.66,27.55,29.78,30.12,28.83,28.15,27.55,27.44,27.32,27.03,26.64,27.68
T2M,2017,25.54,25.24,26.76,28.77,29.22,28.86,27.76,27.96,27.98,27.77,27.33,26.44,27.48
T2M,2018,25.8,26.15,26.87,28.81,29.73,27.98,27.22,27.15,27.23,27.69,27.19,26.68,27.38
T2M,2019,25.33,25.68,27.97,29.9,29.54,29.21,27.86,27.5,27.37,27.77,27.26,26.39,27.65
T2M,2020,25.84,25.26,27.08,28.3,29.67,28.9,28.42,27.79,28.23,27.64,27.12,26.73,27.58
QV2M,2016,17.64,16.72,17.27,17.94,19.23,19.65,19.47,20.45,19.84,19.65,19.1,19.04,18.86
QV2M,2017,17.4,16.6,17.03,17.94,19.65,19.65,19.71,19.71,19.71,19.59,19.84,18.62,18.8
QV2M,2018,17.88,17.27,16.91,17.82,19.17,20.02,20.26,19.84,19.41,18.74,18.62,18.31,18.68
QV2M,2019,16.36,15.56,16.11,17.4,19.35,20.63,19.78,20.32,19.59,19.04,19.17,18.37,18.49
QV2M,2020,17.15,16.24,17.82,18.92,20.2,19.78,19.65,19.53,19.78,20.08,19.53,19.23,18.98
CLRSKY_KT,2016,0.69,0.7,0.7,0.7,0.69,0.68,0.68,0.68,0.69,0.68,0.68,0.67,0.69
CLRSKY_KT,2017,0.68,0.69,0.7,0.7,0.69,0.69,0.67,0.68,0.69,0.68,0.68,0.67,0.68
CLRSKY_KT,2018,0.67,0.7,0.69,0.7,0.7,0.67,0.67,0.67,0.69,0.69,0.69,0.68,0.68
CLRSKY_KT,2019,0.7,0.71,0.7,0.7,0.68,0.69,0.68,0.67,0.67,0.69,0.67,0.68,0.69
CLRSKY_KT,2020,0.69,0.7,0.7,0.69,0.69,0.68,0.69,0.68,0.69,0.67,0.68,0.67,0.69
ALLSKY_SFC_SW_DWN,2016,5.1,5.29,6.42,6.92,6.16,5.49,5.2,3.88,4.64,4.49,4.44,4.09,5.17
ALLSKY_SFC_SW_DWN,2017,4.26,5.31,6.24,6.65,6,5.9,4.38,5.15,4.95,4.4,4.43,4.02,5.14
ALLSKY_SFC_SW_DWN,2018,4.33,5.65,6.27,6.75,6.52,4.28,3.54,3.88,5.17,5.67,5.09,3.94,5.08
ALLSKY_SFC_SW_DWN,2019,4.87,6,6.73,6.86,5.88,5.71,4.78,3.79,4.39,5.7,4.27,4.43,5.28
ALLSKY_SFC_SW_DWN,2020,4.85,5.55,6.67,6.57,6.37,5.89,5.58,4.66,5.6,4.13,4.3,4.04,5.35
