-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  12.4357   Longitude 122.0228 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 10.08 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,27.02,26.56,27.5,29.23,29.71,29.31,28.71,28.49,28.24,28.06,27.99,27.63,28.21
T2M,2017,26.51,26.09,26.94,28.33,29.55,29.28,28.51,28.74,28.6,28.53,28.4,27.55,28.09
T2M,2018,26.64,26.8,27.29,28.33,29.4,28.86,28.19,28.09,28.08,28.52,28.18,27.52,28
T2M,2019,26.45,26.26,27.31,28.78,30.11,29.69,28.58,28.35,28.33,28.58,28.26,27.45,28.19
T2M,2020,26.98,26.42,27.55,28.87,29.98,29.23,28.92,28.62,28.84,28.41,28.16,27.74,28.32
QV2M,2016,17.88,17.58,17.88,18.62,19.65,19.96,19.47,20.51,19.9,19.96,19.53,19.47,19.23
QV2M,2017,18.25,17.15,17.82,18.49,20.08,19.78,19.84,19.84,19.9,19.65,20.14,19.59,19.23
QV2M,2018,18.8,18.13,17.82,18.86,19.84,20.08,20.45,19.84,19.71,19.1,19.04,19.1,19.23
QV2M,2019,16.78,15.99,16.66,18.19,19.59,20.63,19.9,20.32,19.78,19.29,19.53,18.86,18.8
QV2M,2020,18.01,16.97,17.94,18.74,20.14,19.78,19.65,19.65,19.65,20.14,19.78,19.9,19.23
CLRSKY_KT,2016,0.7,0.7,0.7,0.7,0.69,0.69,0.69,0.68,0.68,0.69,0.69,0.67,0.69
CLRSKY_KT,2017,0.68,0.69,0.7,0.7,0.69,0.69,0.68,0.69,0.69,0.68,0.69,0.67,0.69
CLRSKY_KT,2018,0.68,0.7,0.7,0.7,0.7,0.68,0.66,0.66,0.69,0.69,0.7,0.68,0.69
CLRSKY_KT,2019,0.7,0.71,0.71,0.71,0.69,0.69,0.68,0.67,0.66,0.69,0.67,0.68,0.69
CLRSKY_KT,2020,0.69,0.7,0.7,0.7,0.7,0.69,0.69,0.68,0.69,0.68,0.68,0.68,0.69
ALLSKY_SFC_SW_DWN,2016,4.93,5.25,6.54,7,6.39,5.54,5.19,4.92,5.33,4.62,4.28,4.09,5.34
ALLSKY_SFC_SW_DWN,2017,3.74,5.16,5.79,6.49,6.16,5.91,4.5,5.39,5.2,4.4,4.55,3.7,5.08
ALLSKY_SFC_SW_DWN,2018,3.79,5.08,5.9,6.7,6.4,4.94,4.67,4.91,5.24,5.55,4.93,3.95,5.17
ALLSKY_SFC_SW_DWN,2019,4.66,5.95,6.55,7.02,6.35,5.9,4.96,4.31,5.21,5.62,4.64,4.25,5.44
ALLSKY_SFC_SW_DWN,2020,4.62,5.21,6.5,6.87,6.33,5.37,5.49,5,5.27,4.36,4.38,4.07,5.29
