-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  11.087   Longitude 124.6342 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 25.18 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,27.01,26.96,27.78,29.23,29.62,29.19,28.64,28.56,28.29,28.04,27.65,27.55,28.21
T2M,2017,26.61,25.99,26.9,28.18,29.04,29.01,28.24,28.55,28.45,28.24,28.17,27.66,27.93
T2M,2018,27.09,26.94,27.37,28.15,29.05,28.76,28.42,28.29,28.15,28.37,27.76,27.29,27.98
T2M,2019,26.02,25.85,26.77,27.98,29.69,29.19,28.39,28.23,28.51,28.48,28.13,27.48,27.9
T2M,2020,27.09,26.39,27.36,28.76,29.6,28.66,28.51,28.49,28.9,28.23,27.87,27.75,28.14
QV2M,2016,17.64,17.64,17.4,18.37,19.41,19.1,18.86,19.96,19.35,19.71,19.17,19.41,18.86
QV2M,2017,18.86,17.58,18.31,18.74,20.14,19.17,19.29,19.35,19.35,19.53,19.9,19.47,19.17
QV2M,2018,19.29,18.62,18.13,18.92,19.41,19.29,19.71,19.29,19.47,18.8,19.1,19.29,19.1
QV2M,2019,17.33,16.24,16.6,18.31,19.41,20.08,19.29,19.9,19.41,19.1,19.47,19.04,18.68
QV2M,2020,18.31,17.27,17.7,18.49,19.84,19.23,19.04,19.29,19.29,19.78,19.71,19.78,18.98
CLRSKY_KT,2016,0.7,0.7,0.72,0.71,0.7,0.7,0.7,0.68,0.69,0.69,0.7,0.68,0.7
CLRSKY_KT,2017,0.69,0.7,0.7,0.71,0.7,0.7,0.69,0.69,0.69,0.69,0.7,0.69,0.7
CLRSKY_KT,2018,0.69,0.7,0.71,0.71,0.7,0.68,0.67,0.67,0.69,0.7,0.7,0.69,0.7
CLRSKY_KT,2019,0.7,0.72,0.73,0.72,0.7,0.69,0.69,0.67,0.66,0.7,0.69,0.69,0.7
CLRSKY_KT,2020,0.7,0.7,0.72,0.71,0.7,0.7,0.7,0.69,0.7,0.68,0.69,0.69,0.7
ALLSKY_SFC_SW_DWN,2016,5.19,5.13,6.64,6.8,6.29,5.38,5.27,5.04,5.23,4.44,4.24,4.09,5.31
ALLSKY_SFC_SW_DWN,2017,3.62,4.52,4.9,6.11,5.85,5.61,4.46,5.21,4.98,4.37,4.45,3.94,4.83
ALLSKY_SFC_SW_DWN,2018,3.55,4.62,5.68,6.24,6.03,5.06,5.05,5.07,5.09,5.61,4.53,3.81,5.03
ALLSKY_SFC_SW_DWN,2019,4.49,5.67,6.4,6.59,6.23,5.5,5.07,4.66,5.19,5.57,4.5,4.42,5.35
ALLSKY_SFC_SW_DWN,2020,4.79,5.09,6.47,6.27,6.12,5.26,5.24,5.14,5.23,4.28,4.12,3.81,5.15
