-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  15.4413   Longitude 119.9852 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 299.34 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,24.39,24.85,26.94,28.91,28.49,26.85,26.48,25.83,25.8,25.64,25.22,24.82,26.19
T2M,2017,23.85,24.22,26.37,27.94,27.81,26.81,26.02,26.12,26.24,26.12,25.4,24.55,25.96
T2M,2018,24.37,25.45,26.53,27.82,28.24,26.33,25.62,25.51,25.68,25.91,25.04,25.34,25.99
T2M,2019,24.35,25.01,27.11,28.28,27.78,27.53,26.02,25.81,25.55,26.04,25.3,24.4,26.1
T2M,2020,24.22,24.48,26.82,27.56,27.97,27.31,26.68,25.95,26.52,26.08,25.25,24.99,26.15
QV2M,2016,15.81,14.65,15.26,16.11,18.19,18.98,19.1,19.59,19.17,18.8,17.4,17.27,17.52
QV2M,2017,15.38,14.71,15.14,16.05,18.01,18.98,19.04,19.1,18.92,18.62,18.19,16.72,17.4
QV2M,2018,15.81,15.2,14.71,16.42,18.01,19.35,19.35,19.23,18.62,17.64,16.85,16.17,17.27
QV2M,2019,14.1,13.37,14.34,16.54,18.43,19.59,19.17,19.65,18.86,17.88,17.88,16.66,17.21
QV2M,2020,15.08,13.79,15.75,16.91,19.04,19.04,18.98,19.04,19.1,19.1,18.19,17.82,17.7
CLRSKY_KT,2016,0.69,0.7,0.68,0.7,0.68,0.69,0.69,0.68,0.69,0.68,0.69,0.68,0.69
CLRSKY_KT,2017,0.69,0.7,0.7,0.7,0.69,0.69,0.67,0.69,0.69,0.68,0.68,0.68,0.69
CLRSKY_KT,2018,0.68,0.7,0.7,0.7,0.7,0.68,0.68,0.67,0.69,0.69,0.7,0.68,0.69
CLRSKY_KT,2019,0.7,0.72,0.7,0.7,0.68,0.69,0.68,0.69,0.67,0.69,0.67,0.69,0.69
CLRSKY_KT,2020,0.7,0.7,0.7,0.68,0.69,0.69,0.69,0.69,0.69,0.68,0.68,0.67,0.69
ALLSKY_SFC_SW_DWN,2016,5.25,5.56,6.41,7.04,6.19,5.53,5.06,4,4.72,4.52,4.76,4.57,5.3
ALLSKY_SFC_SW_DWN,2017,4.85,5.67,6.55,6.98,6.16,5.95,4.55,5.41,5.14,5,4.85,4.35,5.45
ALLSKY_SFC_SW_DWN,2018,4.61,5.87,6.68,6.96,6.6,4.4,3.9,4.22,5.43,5.72,5.4,4.61,5.36
ALLSKY_SFC_SW_DWN,2019,5.35,6.3,6.68,6.83,5.79,5.53,4.69,4.24,4.44,5.87,4.33,4.71,5.39
ALLSKY_SFC_SW_DWN,2020,5.26,6.08,6.82,6.73,6.24,5.99,5.83,4.89,5.57,4.62,4.65,4.43,5.59
