-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  15.2293   Longitude 120.5587 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 141.75 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,25.07,25.54,28.55,30.49,29.69,27.81,27.15,26.43,26.43,26.1,25.33,24.98,26.97
T2M,2017,24.06,24.31,26.87,29.37,28.86,27.69,26.58,26.88,26.88,26.49,25.65,24.66,26.54
T2M,2018,24.66,26.03,27.18,28.87,29.45,27.04,26.11,26.08,26.3,26.23,25.73,25.8,26.62
T2M,2019,24.3,25.51,28.61,29.83,29.17,28.36,26.69,26.37,26.21,26.35,25.67,24.97,26.84
T2M,2020,25.04,24.48,27.03,27.76,28.85,27.8,27.12,26.54,27.23,26.4,25.46,25.15,26.58
QV2M,2016,16.11,14.89,15.2,15.69,18.07,19.23,19.41,20.02,19.59,19.23,18.13,17.88,17.82
QV2M,2017,15.87,15.08,15.2,15.99,18.49,19.41,19.41,19.53,19.41,19.1,18.92,17.27,17.82
QV2M,2018,16.36,15.5,14.83,16.24,17.88,19.53,19.71,19.53,19.1,18.19,17.15,16.48,17.58
QV2M,2019,14.65,13.55,13.98,15.93,18.43,19.9,19.53,19.96,19.29,18.62,18.37,17.09,17.46
QV2M,2020,15.32,14.34,16.3,17.52,19.35,19.53,19.41,19.35,19.65,19.65,18.68,18.31,18.13
CLRSKY_KT,2016,0.7,0.7,0.69,0.7,0.69,0.7,0.7,0.68,0.69,0.69,0.69,0.68,0.69
CLRSKY_KT,2017,0.7,0.7,0.7,0.7,0.69,0.7,0.68,0.7,0.7,0.69,0.69,0.68,0.7
CLRSKY_KT,2018,0.68,0.7,0.7,0.7,0.7,0.68,0.69,0.67,0.7,0.7,0.7,0.69,0.7
CLRSKY_KT,2019,0.71,0.72,0.7,0.7,0.68,0.69,0.69,0.69,0.68,0.7,0.68,0.7,0.7
CLRSKY_KT,2020,0.7,0.71,0.7,0.69,0.7,0.7,0.7,0.69,0.7,0.69,0.69,0.68,0.7
ALLSKY_SFC_SW_DWN,2016,5.08,5.25,5.94,6.59,5.98,5.4,5.26,3.85,4.68,4.49,4.5,4.28,5.11
ALLSKY_SFC_SW_DWN,2017,4.51,5.42,6.21,6.38,5.68,5.89,4.62,5.1,4.84,4.51,4.3,4.17,5.13
ALLSKY_SFC_SW_DWN,2018,4.43,5.67,6.21,6.46,6.44,4.39,4.13,3.67,5.08,5.56,5.13,4.14,5.1
ALLSKY_SFC_SW_DWN,2019,5,6.03,6.43,6.38,5.7,5.34,4.81,3.77,4.1,5.51,4.27,4.48,5.15
ALLSKY_SFC_SW_DWN,2020,4.91,5.77,6.52,6.35,5.93,6.1,5.77,4.72,5.55,4.3,4.42,4.02,5.36
