-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  10.1528   Longitude 118.8739 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 66.17 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,27.52,27.42,28.67,30.24,30.04,28.37,28.08,28.05,27.49,27.49,27.73,27.62,28.23
T2M,2017,27.08,26.66,27.4,28.97,29.24,28.22,27.8,28,27.94,27.81,28.01,27.57,27.9
T2M,2018,26.78,26.55,27.63,28.84,29.37,28.55,27.91,27.83,27.46,28.31,28.12,27.54,27.91
T2M,2019,26.76,26.71,28.26,29.52,29.8,29.16,27.94,28.1,28.15,28.13,27.8,27.6,28.17
T2M,2020,27.4,27.23,28.58,29.85,30.07,28.54,28.06,27.91,28.08,27.51,27.85,27.68,28.23
QV2M,2016,17.52,17.21,17.21,17.52,19.23,18.98,18.8,19.65,19.04,19.23,18.98,19.23,18.55
QV2M,2017,18.43,17.46,17.52,18.13,19.23,18.92,18.98,18.92,18.92,19.29,19.59,19.53,18.74
QV2M,2018,18.92,17.88,17.7,18.43,19.04,19.04,19.29,18.98,19.04,18.68,19.17,18.92,18.74
QV2M,2019,17.03,15.75,16.11,17.52,18.68,19.47,18.92,19.41,19.04,18.92,19.04,18.43,18.19
QV2M,2020,17.94,16.91,17.09,18.07,19.17,18.8,18.92,18.98,19.04,19.35,19.41,19.47,18.62
CLRSKY_KT,2016,0.7,0.7,0.7,0.7,0.69,0.69,0.69,0.68,0.69,0.69,0.69,0.68,0.69
CLRSKY_KT,2017,0.68,0.7,0.7,0.7,0.69,0.69,0.68,0.69,0.69,0.68,0.69,0.67,0.69
CLRSKY_KT,2018,0.68,0.7,0.7,0.7,0.69,0.68,0.66,0.67,0.69,0.69,0.69,0.68,0.69
CLRSKY_KT,2019,0.69,0.72,0.72,0.71,0.7,0.68,0.67,0.66,0.65,0.69,0.67,0.68,0.69
CLRSKY_KT,2020,0.69,0.7,0.71,0.7,0.69,0.68,0.69,0.69,0.69,0.68,0.68,0.67,0.69
ALLSKY_SFC_SW_DWN,2016,5.89,5.96,6.94,7.08,6.28,4.64,5.01,4.69,4.35,4.21,4.82,4.86,5.39
ALLSKY_SFC_SW_DWN,2017,4.5,5.64,6.3,6.76,5.84,5.26,4.39,4.83,4.87,4.31,4.8,4.02,5.12
ALLSKY_SFC_SW_DWN,2018,4.37,5.61,6.42,6.86,5.85,4.89,3.16,4.82,4.58,5.58,5.08,4.69,5.15
ALLSKY_SFC_SW_DWN,2019,5.36,6.57,6.98,7.11,5.74,4.91,4.22,4.38,5.03,5.43,4.55,4.89,5.42
ALLSKY_SFC_SW_DWN,2020,5.35,5.99,6.91,6.89,6.43,4.98,5,4.95,5.1,3.84,4.82,4.27,5.37
