-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  12.6638   Longitude 122.2299 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 53.24 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,26.74,26.37,27.32,29.08,29.54,29.08,28.47,28.27,27.99,27.87,27.78,27.46,28
T2M,2017,26.34,25.83,26.69,28.02,29.28,29.05,28.32,28.46,28.34,28.25,28.15,27.43,27.86
T2M,2018,26.59,26.6,27,28.02,29.08,28.62,28.02,27.93,27.83,28.18,27.9,27.3,27.76
T2M,2019,26.08,25.87,27.01,28.56,29.76,29.45,28.35,28.12,28.12,28.3,28.05,27.26,27.92
T2M,2020,26.77,26.15,27.24,28.62,29.73,28.89,28.6,28.4,28.6,28.21,27.95,27.61,28.07
QV2M,2016,17.76,17.52,17.7,18.31,19.23,19.9,19.35,20.39,19.84,19.84,19.41,19.41,19.04
QV2M,2017,18.25,17.15,17.76,18.37,19.9,19.59,19.65,19.78,19.78,19.53,20.02,19.59,19.1
QV2M,2018,18.8,18.13,17.82,18.8,19.71,19.9,20.26,19.71,19.71,18.92,18.92,19.1,19.17
QV2M,2019,16.85,15.93,16.48,17.88,19.35,20.39,19.71,20.14,19.65,19.1,19.35,18.86,18.68
QV2M,2020,17.94,16.97,17.76,18.49,19.9,19.59,19.41,19.59,19.59,20.02,19.65,19.78,19.04
CLRSKY_KT,2016,0.7,0.7,0.7,0.7,0.69,0.69,0.69,0.68,0.68,0.69,0.69,0.67,0.69
CLRSKY_KT,2017,0.68,0.69,0.7,0.7,0.69,0.69,0.68,0.69,0.69,0.68,0.69,0.67,0.69
CLRSKY_KT,2018,0.68,0.7,0.7,0.7,0.7,0.68,0.66,0.66,0.69,0.69,0.7,0.68,0.69
CLRSKY_KT,2019,0.7,0.71,0.71,0.71,0.69,0.69,0.68,0.67,0.66,0.69,0.67,0.68,0.69
CLRSKY_KT,2020,0.69,0.7,0.7,0.7,0.7,0.69,0.69,0.68,0.69,0.68,0.68,0.68,0.69
ALLSKY_SFC_SW_DWN,2016,4.93,5.25,6.54,7,6.39,5.54,5.19,4.92,5.33,4.62,4.28,4.09,5.34
ALLSKY_SFC_SW_DWN,2017,3.74,5.16,5.79,6.49,6.16,5.91,4.5,5.39,5.2,4.4,4.55,3.7,5.08
ALLSKY_SFC_SW_DWN,2018,3.79,5.08,5.9,6.7,6.4,4.94,4.67,4.91,5.24,5.55,4.93,3.95,5.17
ALLSKY_SFC_SW_DWN,2019,4.66,5.95,6.55,7.02,6.35,5.9,4.96,4.31,5.21,5.62,4.64,4.25,5.44
ALLSKY_SFC_SW_DWN,2020,4.62,5.21,6.5,6.87,6.33,5.37,5.49,5,5.27,4.36,4.38,4.07,5.29
