-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  10.5145   Longitude 123.426 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 301.15 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,25.05,25.69,27.4,29.4,28.44,26.09,25.45,25.22,24.98,24.96,24.54,24.83,26.01
T2M,2017,23.98,23.58,24.9,26.13,26.61,25.98,25,25.32,25.29,25.2,25.2,24.87,25.18
T2M,2018,24.31,24.3,24.67,26.23,26.52,25.59,25.01,24.85,24.8,25.3,24.94,24.67,25.1
T2M,2019,23.44,23.43,24.74,26.16,27.32,26.2,25.13,24.88,25.15,25.25,24.8,24.63,25.1
T2M,2020,24.48,24.18,26.15,28.38,28.46,25.84,25.37,25.18,25.76,25.14,24.91,24.89,25.73
QV2M,2016,16.17,16.17,15.2,15.56,17.7,18.68,18.19,18.74,18.43,18.74,18.13,18.43,17.52
QV2M,2017,17.76,16.54,16.97,17.58,18.98,18.43,18.31,18.55,18.55,18.68,18.86,18.55,18.19
QV2M,2018,18.25,17.52,17.09,17.64,18.43,18.25,18.49,18.19,18.43,18.19,18.25,18.19,18.07
QV2M,2019,16.36,15.2,15.32,16.91,18.49,19.1,18.43,18.62,18.49,18.55,18.37,18.01,17.64
QV2M,2020,17.4,16.17,16.05,15.93,18.19,18.37,18.43,18.55,18.8,18.86,18.62,18.74,17.82
CLRSKY_KT,2016,0.7,0.7,0.72,0.71,0.7,0.69,0.69,0.68,0.69,0.69,0.7,0.69,0.7
CLRSKY_KT,2017,0.69,0.7,0.7,0.71,0.7,0.7,0.69,0.7,0.69,0.69,0.7,0.69,0.7
CLRSKY_KT,2018,0.69,0.7,0.71,0.71,0.7,0.68,0.67,0.68,0.69,0.7,0.7,0.69,0.7
CLRSKY_KT,2019,0.7,0.73,0.73,0.73,0.7,0.7,0.69,0.68,0.66,0.7,0.69,0.69,0.7
CLRSKY_KT,2020,0.7,0.7,0.72,0.72,0.7,0.7,0.69,0.69,0.7,0.68,0.69,0.69,0.7
ALLSKY_SFC_SW_DWN,2016,5.19,5.21,6.58,6.61,6,5.29,5.11,4.92,5.11,4.61,4.4,4.32,5.28
ALLSKY_SFC_SW_DWN,2017,3.48,4.6,4.97,5.99,5.6,5.48,4.67,5.14,4.98,4.32,4.59,4.02,4.82
ALLSKY_SFC_SW_DWN,2018,4.01,4.89,5.84,6.33,5.82,5.05,4.88,4.96,5.01,5.39,4.63,4.11,5.08
ALLSKY_SFC_SW_DWN,2019,4.4,5.67,6.25,6.56,5.94,5.5,5.02,4.73,5.1,5.28,4.51,4.31,5.27
ALLSKY_SFC_SW_DWN,2020,4.83,4.86,6.32,6.44,5.86,5.06,5.19,5.23,5.15,4.51,4.59,4.15,5.18
