-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  15.0075   Longitude 121.0305 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 260.5 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,23.94,23.62,25.58,27.67,27.94,26.93,26.77,25.96,25.97,25.59,24.76,24.38,25.76
T2M,2017,23.12,22.76,24.46,26.94,27.49,27.11,25.95,26.4,26.26,25.72,25.17,24,25.46
T2M,2018,23.55,24.11,24.54,26.36,27.44,26.3,25.58,25.45,25.8,25.44,24.93,24.5,25.33
T2M,2019,22.84,23.16,25.66,27.31,27.84,27.4,26.06,25.69,25.61,25.77,25.03,24.32,25.57
T2M,2020,23.83,22.77,24.75,25.81,27.4,26.85,26.44,26.03,26.57,25.79,25,24.59,25.5
QV2M,2016,16.24,15.44,16.11,16.91,18.37,18.92,18.68,19.53,19.17,18.86,18.01,17.88,17.88
QV2M,2017,16.05,15.32,15.75,16.85,18.68,18.92,18.98,19.1,19.17,18.8,18.8,17.33,17.82
QV2M,2018,16.54,16.05,15.56,16.85,18.25,19.1,19.23,18.98,18.68,17.76,17.21,17.03,17.64
QV2M,2019,15.14,14.28,14.89,16.54,18.62,19.65,18.98,19.47,18.8,18.19,18.07,17.21,17.52
QV2M,2020,15.75,14.89,16.78,17.94,19.59,19.17,18.92,18.86,19.1,19.35,18.49,18.25,18.07
CLRSKY_KT,2016,0.7,0.7,0.69,0.7,0.7,0.7,0.7,0.68,0.7,0.7,0.7,0.68,0.7
CLRSKY_KT,2017,0.7,0.7,0.7,0.7,0.7,0.7,0.69,0.7,0.7,0.7,0.7,0.68,0.7
CLRSKY_KT,2018,0.68,0.7,0.7,0.71,0.71,0.69,0.69,0.68,0.7,0.7,0.7,0.69,0.7
CLRSKY_KT,2019,0.7,0.73,0.72,0.71,0.68,0.7,0.69,0.69,0.69,0.7,0.68,0.69,0.7
CLRSKY_KT,2020,0.7,0.71,0.71,0.7,0.7,0.7,0.7,0.69,0.7,0.69,0.69,0.68,0.7
ALLSKY_SFC_SW_DWN,2016,4.34,4.49,5.14,6.39,5.99,5.36,5.43,4.31,5.08,4.23,3.87,3.42,4.84
ALLSKY_SFC_SW_DWN,2017,3.59,4.36,5.44,5.82,5.95,6,4.17,5.32,4.72,3.95,3.55,3.22,4.67
ALLSKY_SFC_SW_DWN,2018,3.52,4.96,5.57,6.12,6.19,4.71,4.67,4.19,5.26,5.27,4.57,3.27,4.85
ALLSKY_SFC_SW_DWN,2019,3.97,5.42,6,6.26,5.8,5.96,5.13,4.32,4.42,5.08,3.74,3.8,4.99
ALLSKY_SFC_SW_DWN,2020,4.11,4.69,5.96,5.8,6,5.91,5.62,4.62,5.31,3.76,3.8,3.29,4.9
