-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2016 through 12/31/2020 ,,,,,,,,,,,,,,
Location: Latitude  14.8964   Longitude 120.4743 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 141.75 meters,,,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
CLRSKY_KT             CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,25.07,25.54,28.55,30.49,29.69,27.81,27.15,26.43,26.43,26.1,25.33,24.98,26.97
T2M,2017,24.06,24.31,26.87,29.37,28.86,27.69,26.58,26.88,26.88,26.49,25.65,24.66,26.54
T2M,2018,24.66,26.03,27.18,28.87,29.45,27.04,26.11,26.08,26.3,26.23,25.73,25.8,26.62
T2M,2019,24.3,25.51,28.61,29.83,29.17,28.36,26.69,26.37,26.21,26.35,25.67,24.97,26.84
T2M,2020,25.04,24.48,27.03,27.76,28.85,27.8,27.12,26.54,27.23,26.4,25.46,25.15,26.58
QV2M,2016,16.11,14.89,15.2,15.69,18.07,19.23,19.41,20.02,19.59,19.23,18.13,17.88,17.82
QV2M,2017,15.87,15.08,15.2,15.99,18.49,19.41,19.41,19.53,19.41,19.1,18.92,17.27,17.82
QV2M,2018,16.36,15.5,14.83,16.24,17.88,19.53,19.71,19.53,19.1,18.19,17.15,16.48,17.58
QV2M,2019,14.65,13.55,13.98,15.93,18.43,19.9,19.53,19.96,19.29,18.62,18.37,17.09,17.46
QV2M,2020,15.32,14.34,16.3,17.52,19.35,19.53,19.41,19.35,19.65,19.65,18.68,18.31,18.13
CLRSKY_KT,2016,0.69,0.7,0.7,0.7,0.69,0.68,0.68,0.68,0.69,0.68,0.68,0.67,0.69
CLRSKY_KT,2017,0.68,0.69,0.7,0.7,0.69,0.69,0.67,0.68,0.69,0.68,0.68,0.67,0.68
CLRSKY_KT,2018,0.67,0.7,0.69,0.7,0.7,0.67,0.67,0.67,0.69,0.69,0.69,0.68,0.68
CLRSKY_KT,2019,0.7,0.71,0.7,0.7,0.68,0.69,0.68,0.67,0.67,0.69,0.67,0.68,0.69
CLRSKY_KT,2020,0.69,0.7,0.7,0.69,0.69,0.68,0.69,0.68,0.69,0.67,0.68,0.67,0.69
ALLSKY_SFC_SW_DWN,2016,5.1,5.29,6.42,6.92,6.16,5.49,5.2,3.88,4.64,4.49,4.44,4.09,5.17
ALLSKY_SFC_SW_DWN,2017,4.26,5.31,6.24,6.65,6,5.9,4.38,5.15,4.95,4.4,4.43,4.02,5.14
ALLSKY_SFC_SW_DWN,2018,4.33,5.65,6.27,6.75,6.52,4.28,3.54,3.88,5.17,5.67,5.09,3.94,5.08
ALLSKY_SFC_SW_DWN,2019,4.87,6,6.73,6.86,5.88,5.71,4.78,3.79,4.39,5.7,4.27,4.43,5.28
ALLSKY_SFC_SW_DWN,2020,4.85,5.55,6.67,6.57,6.37,5.89,5.58,4.66,5.6,4.13,4.3,4.04,5.35
