,Temperature at 2 Meters,Specific Humidity at 2 Meters,Clear Sky Insolation Clearness Index,All Sky Surface Shortwave Downward Irradiance,Longitude,Latitude,Is Power Plant?,Cluster_kmeans,Cluster_kmeansPP,Cluster_heirarchical,Cluster_heirarchicalPP
Alabat Quezon,27.386,18.896,0.686,4.978,122.0213,14.1093,False,2,2,0,0
Ambulong Tanauan Batangas,26.21,18.2,0.692,4.698,121.0545,14.0957,False,0,0,0,0
Aparri Cagayan,27.216,18.298,0.69,4.856,121.6385,18.3561,False,2,2,0,0
Argao Cebu,27.478,18.616,0.694,5.2,123.6047,9.8908,False,2,2,0,0
Atok Benguet,23.27,16.188,0.7,5.224,120.7353,16.5755,False,1,1,1,1
Bacnotan La Union,23.27,16.188,0.7,5.224,120.3488,16.7213,False,1,1,1,1
Bago Oshiro Talomo Davao City,27.782,18.382,0.7,5.148,125.5935,7.0476,False,2,2,0,0
Bais City Negros Occidental,26.566,17.776,0.694,5.2,123.1213,9.5891,True,0,3,0,3
Baler Aurora,23.184,16.308,0.7,4.85,121.5599,15.7599,False,1,1,1,1
Barangay Armenia Tarlac City Tarlac,26.928,17.626,0.698,5.17,120.5139,15.428,True,0,3,0,3
Barangay Dalayap Tarlac City Tarlac,26.928,17.626,0.698,5.17,120.6096,15.5352,True,0,3,0,3
Basco Batanes,26.996,18.262,0.688,4.87,121.9671,20.4372,False,2,2,0,0
Batac Ilocos Norte,26.416,17.234,0.688,5.216,120.5489,18.0603,False,0,0,0,0
Bayombong Nueva Vizcaya,22.64,15.93,0.7,4.898,121.1403,16.4851,False,1,1,1,1
Brgy. Labuagon Kibawe Bukidnon,24.1,16.834,0.7,5.184,124.9698,7.5366,True,1,3,1,3
Brgy. San Roque DigosCity Davao del Sur,25.458,17.274,0.7,5.29,125.3102,6.7698,True,0,3,1,3
Brgy. Suclaban Mexico Pampanga,26.71,17.762,0.698,5.17,120.6512,15.1437,True,0,3,0,3
Brgy. Tinampa-an Cadiz City Negros Occidental,27.122,18.774,0.7,5.126,123.3233,10.9332,True,2,3,0,3
Brooke_s Point Palawan,27.722,18.53,0.69,5.112,117.839,8.7869,False,2,2,0,0
Burgos Ilocos Norte,27.064,18.142,0.688,5.216,120.6429,18.5112,True,2,3,0,3
Butuan  Agusan del Norte,25.224,17.686,0.7,4.994,125.5411,8.9481,False,0,0,0,0
Cabanatuan City Nueva Ecija,25.482,17.616,0.698,5.17,120.9698,15.4846,True,0,3,0,3
Calapan Mindoro Oriental,27.71,18.714,0.692,5.07,121.2001,13.4167,False,2,2,0,0
Calatagan and Balayan Batangas,27.554,18.762,0.69,5.214,120.6721,13.9241,True,2,3,0,3
Catarman Northern Samar,27.074,18.798,0.698,5.09,124.6381,12.4351,False,2,2,0,0
CEZA Rosario Cavite,27.572,18.456,0.686,5.204,120.8598,14.4069,True,2,3,0,3
Concepcion  Tarlac,26.928,17.626,0.698,5.17,120.5969,15.393,True,0,3,0,3
Coron Palawan,28.29,18.606,0.69,5.358,120.2051,12.0002,False,2,2,0,0
Currimao Ilocos Norte,26.416,17.234,0.7,5.36,120.5028,17.9949,True,0,3,0,3
Cuyo Palawan,28.302,19.252,0.69,5.394,121.0279,10.8359,False,2,2,0,0
Daanbantayan Cebu,28.258,19.216,0.7,5.134,124.011,11.2679,False,2,2,0,0
Dagupan Pangasinan,26.35,17.408,0.7,5.224,120.3438,16.0462,False,0,0,0,0
Dalaguete Cebu,27.478,18.616,0.694,5.2,123.5326,9.7608,False,2,2,0,0
Dauis Bohol,27.87,18.8,0.694,5.2,123.8653,9.6254,False,2,2,0,0
Davao City,27.782,18.382,0.7,5.148,125.6108,7.0655,False,2,2,0,0
Echague,25.206,17.336,0.7,4.898,121.6693,16.7093,False,0,0,0,0
Gen. Luna Siargao,28.084,19.228,0.69,5.1,126.1653,9.8071,False,2,2,0,0
Gen. Santos City,25.428,17.358,0.7,5.29,125.1742,6.1191,False,0,0,1,1
Guinobatan Albay,26.846,18.582,0.7,4.95,123.5937,13.1949,False,2,2,0,0
Guiuan Eastern Samar,28.044,19.19,0.7,5.032,125.7324,11.0449,False,2,2,0,0
Hacienda Baltao Talavera Toledo Cebu,27.316,18.762,0.7,5.126,123.6743,10.4151,True,2,3,0,3
Hacienda Luisita Tarlac,26.928,17.626,0.698,5.17,120.6295,15.442,False,0,0,0,0
Hermosa Bataan,26.71,17.762,0.686,5.204,120.5075,14.8303,True,0,3,0,3
Hinatuan Surigao del Sur,27.166,18.616,0.692,5.064,126.3118,8.3803,False,2,2,0,0
Indang Cavite,27.554,18.762,0.686,5.204,120.8785,14.1952,False,2,2,0,0
Infanta Quezon,27.63,19.018,0.692,4.698,121.6433,14.739,False,2,2,0,0
Jaro Iloilo,27.814,18.97,0.692,5.29,122.5674,10.7144,False,2,2,0,0
Juban Sorsogon,26.846,18.582,0.698,5.19,123.9913,12.8453,False,2,2,0,0
Kabacan Cotabato,25.458,17.274,0.7,5.184,124.8222,7.1085,False,0,0,1,1
Kiamba Sarangani,26.864,18.068,0.7,5.47,124.6231,5.9951,False,0,0,0,0
La Carlota City Negros Occidental,25.424,17.848,0.692,5.29,122.9204,10.4234,True,0,3,1,3
La Trinidad Benguet,23.27,16.188,0.7,5.224,120.5871,16.4614,False,1,1,1,1
Lal-lo Cagayan,26.228,17.47,0.69,4.856,121.6752,18.1239,False,0,0,0,0
Laoag  Ilocos Norte,26.416,17.234,0.688,5.216,120.5958,18.1989,False,0,0,0,0
Legazpi,26.846,18.582,0.7,4.95,123.7329,13.1379,False,2,2,0,0
Lian Batangas,27.554,18.762,0.686,5.204,120.654,14.0361,True,2,3,0,3
Lipa Batangas,26.21,18.2,0.692,5.07,121.1655,13.9573,False,0,0,0,0
Maasim Sarangani,25.428,17.358,0.7,5.47,124.9951,5.8625,False,0,0,1,1
Maasin Southern Leyte,27.852,19.08,0.696,5.218,124.8472,10.133,False,2,2,0,0
Mabini Batangas,27.262,18.606,0.69,5.214,120.9328,13.7306,False,2,2,0,0
Mactan Cebu,27.316,18.762,0.696,5.218,124.0027,10.3065,False,2,2,0,0
"Maddela, Quirino",25.206,17.336,0.7,4.898,121.686,16.3437,False,0,0,0,0
Malaybalay Bukidnon,21.966,15.77,0.7,4.994,125.1299,8.1524,False,1,1,2,2
Mambajao Camiguin,26.556,18.224,0.69,5.32,124.7277,9.2459,False,0,0,0,0
Manapla Negros Occidental,27.122,18.774,0.7,5.126,123.1574,10.9455,True,2,3,0,3
Marawi Lanao del Norte,23.236,16.222,0.7,5.184,124.2907,7.9979,False,1,1,1,1
Miag-ao Iloilo,27.814,18.97,0.692,5.29,122.2437,10.6437,True,2,3,0,3
Milagros Masbate,27.508,19.07,0.698,5.19,123.4417,12.2807,False,2,2,0,0
Morong Bataan,26.71,17.762,0.686,5.204,120.3429,14.8317,True,0,3,0,3
Mt. Sta. Rita Subic Bay Freeport Zone,26.71,17.762,0.686,5.204,120.3647,14.8225,True,0,3,0,3
Munoz Nueva Ecija,26.928,17.626,0.698,5.17,120.9046,15.7096,False,0,0,0,0
Odiongan Romblon,28.162,19.144,0.69,5.264,122.0228,12.4357,True,2,3,0,3
Ormoc Leyte,28.032,18.958,0.7,5.134,124.6342,11.087,True,2,3,0,3
Ozamis Misamis Occidental,25.896,17.872,0.694,5.116,123.8267,8.1345,False,0,0,0,0
Palanan Isabela,26.684,18.226,0.69,4.706,122.3961,17.0162,False,0,0,0,0
Palauig Zambales,26.078,17.42,0.69,5.418,119.9852,15.4413,True,0,3,0,3
Palo Leyte,26.85,18.47,0.7,5.134,124.8533,11.3507,True,2,3,0,3
Pili Camarines Sur,27.414,18.468,0.7,4.95,123.2612,13.5836,False,2,2,0,0
Polillio Quezon,27.63,19.018,0.692,4.698,121.98,14.7434,False,2,2,0,0
Prince Balagtas Extension Clark Special Econo,26.71,17.762,0.698,5.17,120.5587,15.2293,True,0,3,0,3
Puerto Galera Mindoro Orienta,27.71,18.714,0.69,5.214,120.955,13.4992,False,2,2,0,0
Puerto Princesa City Palawan,28.088,18.568,0.69,5.29,118.8739,10.1528,True,2,3,0,3
Puerto Princesa Palawan,28.104,18.846,0.692,5.134,118.7415,9.7419,False,2,2,0,0
Quezon City Metro Manila,26.01,17.97,0.692,4.698,121.0701,14.7198,True,0,3,0,3
Rizal Palawan,28.192,18.654,0.69,5.112,117.5208,8.8919,False,2,2,0,0
Romblon,27.922,19.006,0.69,5.264,122.2611,12.5731,False,2,2,0,0
Romblon Romblon,27.922,19.006,0.69,5.264,122.2299,12.6638,True,2,3,0,3
San Carlos City Negros Occidental,25.424,17.848,0.7,5.126,123.426,10.5145,True,0,3,0,3
San Enrique Iloilo,26.222,18.162,0.696,4.964,122.6746,11.0745,False,0,0,0,0
San Ildefonso Bulacan,25.524,17.786,0.7,4.85,121.0305,15.0075,True,0,3,0,3
San Jacinto Ticao Island,27.508,19.07,0.698,5.19,123.7221,12.5862,False,2,2,0,0
San Jose Occidental Mindoro,26.482,18.296,0.696,5.172,121.0654,12.3528,False,0,0,0,0
San Marcelino Zambales,27.734,18.334,0.686,5.204,120.155,14.9713,False,2,2,0,0
San Rafael Bulacan,26.71,17.762,0.686,5.204,120.4743,14.8964,True,0,3,0,3
Sarrat Ilocos Norte,26.416,17.234,0.688,5.216,120.677,18.1371,True,0,3,0,3
Science Garden Quezon City,26.01,17.97,0.692,4.698,121.0403,14.647,False,0,0,0,0
Silay City Negros Occidental,27.122,18.774,0.7,5.126,123.0025,10.8138,True,2,3,0,3
Simunul Tawi Tawi,28.12,18.98,0.692,5.44,119.7914,4.9149,False,2,2,0,0
Sinait Ilocos Sur,26.416,17.234,0.7,5.36,120.4575,17.8662,False,0,0,0,0
Sindangan Zamboanga del Norte,25.396,17.528,0.694,5.116,123.0005,8.2442,False,0,0,0,0
Sorsogon Sorsogon,26.846,18.582,0.698,5.19,123.9972,12.9843,False,2,2,0,0
Sta Ana Cagayan,27.216,18.298,0.688,4.892,122.1418,18.46,False,2,2,0,0
Sta Cruz Mindoro Occidental,27.318,18.42,0.69,5.214,120.7226,13.0736,False,2,2,0,0
Taal Batangas,26.21,18.2,0.69,5.214,120.9532,13.8827,False,0,0,0,0
Tabaco,27.184,18.666,0.7,4.95,123.7,13.3568,False,2,2,0,0
Tacloban Leyte,26.85,18.47,0.7,5.134,124.9643,11.2698,False,2,2,0,0
Tagaytay,26.21,18.2,0.686,5.204,120.9386,14.0993,False,0,0,0,0
Tagum Davao del Norte,26.23,17.896,0.7,5.148,125.8055,7.4496,False,0,0,0,0
Talakag Bukidnon,23.236,16.222,0.7,5.216,124.6022,8.2324,False,1,1,1,1
Talisayan Misamis Oriental,26.556,18.224,0.7,5.216,124.8829,8.9948,False,0,0,0,0
Tantangan South Cotabato,25.596,17.116,0.7,5.154,124.7479,6.6213,False,0,0,0,0
Tarlac City Tarlac,26.928,17.626,0.698,5.17,120.643,15.4575,True,0,3,0,3
Tayabas Quezon,27.386,18.896,0.692,4.698,121.5912,14.0276,False,2,2,0,0
Tuguegarao Cagayan,25.496,17.112,0.7,4.886,121.7584,17.6477,False,0,0,0,0
UP Los Banos Laguna,26.21,18.2,0.692,4.698,121.2359,14.1545,False,0,0,0,0
Valencia Bukidnon,21.966,15.77,0.7,5.148,125.0938,7.9062,False,1,1,2,2
Virac,27.624,19.004,0.698,5.142,124.2128,13.5798,False,2,2,0,0
Zamboanga City,27.804,18.702,0.68,5.312,122.0725,6.9231,False,2,2,0,0
