,Temperature at 2 Meters,Specific Humidity at 2 Meters,Clear Sky Insolation Clearness Index,All Sky Surface Shortwave Downward Irradiance,Longitude,Latitude,Is Power Plant?
Alabat Quezon,27.386,18.896,0.686,4.978,122.0213,14.1093,FALSE
Ambulong Tanauan Batangas,26.21,18.2,0.692,4.698,121.0545,14.0957,FALSE
Aparri Cagayan,27.216,18.298,0.69,4.856,121.6385,18.3561,FALSE
Argao Cebu,27.478,18.616,0.694,5.2,123.6047,9.8908,FALSE
Atok Benguet,23.27,16.188,0.7,5.224,120.7353,16.5755,FALSE
Bacnotan La Union,23.27,16.188,0.7,5.224,120.3488,16.7213,FALSE
Bago Oshiro Talomo Davao City,27.782,18.382,0.7,5.148,125.5935,7.0476,FALSE
Bais City Negros Occidental,26.566,17.776,0.694,5.2,123.1213,9.5891,TRUE
Baler Aurora,23.184,16.308,0.7,4.85,121.5599,15.7599,FALSE
Barangay Armenia Tarlac City Tarlac,26.928,17.626,0.698,5.17,120.5139,15.428,TRUE
Barangay Dalayap Tarlac City Tarlac,26.928,17.626,0.698,5.17,120.6096,15.5352,TRUE
Basco Batanes,26.996,18.262,0.688,4.87,121.9671,20.4372,FALSE
Batac Ilocos Norte,26.416,17.234,0.688,5.216,120.5489,18.0603,FALSE
Bayombong Nueva Vizcaya,22.64,15.93,0.7,4.898,121.1403,16.4851,FALSE
Brgy. Labuagon Kibawe Bukidnon,24.1,16.834,0.7,5.184,124.9698,7.5366,TRUE
Brgy. San Roque DigosCity Davao del Sur,25.458,17.274,0.7,5.29,125.3102,6.7698,TRUE
Brgy. Suclaban Mexico Pampanga,26.71,17.762,0.698,5.17,120.6512,15.1437,TRUE
Brgy. Tinampa-an Cadiz City Negros Occidental,27.122,18.774,0.7,5.126,123.3233,10.9332,TRUE
Brooke_s Point Palawan,27.722,18.53,0.69,5.112,117.839,8.7869,FALSE
Burgos Ilocos Norte,27.064,18.142,0.688,5.216,120.6429,18.5112,TRUE
Butuan  Agusan del Norte,25.224,17.686,0.7,4.994,125.5411,8.9481,FALSE
Cabanatuan City Nueva Ecija,25.482,17.616,0.698,5.17,120.9698,15.4846,TRUE
Calapan Mindoro Oriental,27.71,18.714,0.692,5.07,121.2001,13.4167,FALSE
Calatagan and Balayan Batangas,27.554,18.762,0.69,5.214,120.6721,13.9241,TRUE
Catarman Northern Samar,27.074,18.798,0.698,5.09,124.6381,12.4351,FALSE
CEZA Rosario Cavite,27.572,18.456,0.686,5.204,120.8598,14.4069,TRUE
Concepcion  Tarlac,26.928,17.626,0.698,5.17,120.5969,15.393,TRUE
Coron Palawan,28.29,18.606,0.69,5.358,120.2051,12.0002,FALSE
Currimao Ilocos Norte,26.416,17.234,0.7,5.36,120.5028,17.9949,TRUE
Cuyo Palawan,28.302,19.252,0.69,5.394,121.0279,10.8359,FALSE
Daanbantayan Cebu,28.258,19.216,0.7,5.134,124.011,11.2679,FALSE
Dagupan Pangasinan,26.35,17.408,0.7,5.224,120.3438,16.0462,FALSE
Dalaguete Cebu,27.478,18.616,0.694,5.2,123.5326,9.7608,FALSE
Dauis Bohol,27.87,18.8,0.694,5.2,123.8653,9.6254,FALSE
Davao City,27.782,18.382,0.7,5.148,125.6108,7.0655,FALSE
Echague,25.206,17.336,0.7,4.898,121.6693,16.7093,FALSE
Gen. Luna Siargao,28.084,19.228,0.69,5.1,126.1653,9.8071,FALSE
